NewQuestion,O,,,
ID,ElisaDemo_52,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g, h, i, j\}$$ and $$E = \{(d, g), (e, i), (h, i), (h, j), (c, d), (g, i), (f, g), (b, h), (e, j), (b, g), (a, f), (b, d), (c, j), (e, g), (f, j) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(g\),NOT HTML,"The neighborhood of g consist of e i f b d. ",
Item,\(j\),NOT HTML,"The neighborhood of j consist of f e c h. ",
Item,\(c\),NOT HTML,"The neighborhood of c consist of d j. ",
Item,\(a\),NOT HTML,"The neighborhood of a consist of f. ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
NewQuestion,O,,,
ID,ElisaDemo_53,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g, h, i\}$$ and $$E = \{(d, h), (e, i), (b, e), (d, i), (b, f), (c, g), (a, i), (c, i), (b, h), (b, g), (a, e), (d, e) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(b\),NOT HTML,"The neighborhood of b consist of g e f h. ",
Item,\(d\),NOT HTML,"The neighborhood of d consist of e i h. ",
Item,\(a\),NOT HTML,"The neighborhood of a consist of e i. ",
Item,\(f\),NOT HTML,"The neighborhood of f consist of b. ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
NewQuestion,O,,,
ID,ElisaDemo_54,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g, h, i, j\}$$ and $$E = \{(b, j), (a, h), (d, i), (c, g), (c, i), (f, h), (b, h), (a, f), (b, g), (f, j), (d, j), (c, e), (a, g), (a, b) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(a\),NOT HTML,"The neighborhood of a consist of b g f h. ",
Item,\(c\),NOT HTML,"The neighborhood of c consist of e g i. ",
Item,\(d\),NOT HTML,"The neighborhood of d consist of i j. ",
Item,\(e\),NOT HTML,"The neighborhood of e consist of c. ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
