NewQuestion,MS,,,
ID,ElisaDemo_42,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 35, 47, 99, 77, 25, 70, 85, 63 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,1,85,,85 is a leaf node. 
Option,0,70,,70 is an internal node. 
Option,0,35,,35 is an internal node. 
Option,0,99,,99 is an internal node. 
Option,1,63,,63 is a leaf node. 
Option,0,77,,77 is an internal node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
NewQuestion,MS,,,
ID,ElisaDemo_43,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 21, 81, 90, 66, 46, 58, 44, 89 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,0,81,,81 is an internal node. 
Option,1,89,,89 is a leaf node. 
Option,1,44,,44 is a leaf node. 
Option,1,58,,58 is a leaf node. 
Option,0,66,,66 is an internal node. 
Option,0,46,,46 is an internal node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
NewQuestion,MS,,,
ID,ElisaDemo_44,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 51, 60, 11, 15, 55, 29, 28, 62, 54 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,0,55,,55 is an internal node. 
Option,1,54,,54 is a leaf node. 
Option,0,15,,15 is an internal node. 
Option,0,11,,11 is an internal node. 
Option,0,51,,51 is an internal node. 
Option,0,60,,60 is an internal node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
NewQuestion,MS,,,
ID,ElisaDemo_45,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 60, 87, 34, 27, 92, 58, 67, 52, 74, 62, 10 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,1,62,,62 is a leaf node. 
Option,0,58,,58 is an internal node. 
Option,1,74,,74 is a leaf node. 
Option,0,34,,34 is an internal node. 
Option,1,92,,92 is a leaf node. 
Option,1,52,,52 is a leaf node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
NewQuestion,MS,,,
ID,ElisaDemo_46,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 10, 26, 46, 32, 60, 61, 88, 90, 66 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,0,10,,10 is an internal node. 
Option,0,61,,61 is an internal node. 
Option,0,88,,88 is an internal node. 
Option,1,90,,90 is a leaf node. 
Option,1,66,,66 is a leaf node. 
Option,0,60,,60 is an internal node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
NewQuestion,MS,,,
ID,ElisaDemo_47,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 6, 22, 18, 50, 92, 35, 72, 30, 48, 98, 56, 89 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,0,6,,6 is an internal node. 
Option,0,72,,72 is an internal node. 
Option,0,35,,35 is an internal node. 
Option,1,89,,89 is a leaf node. 
Option,0,92,,92 is an internal node. 
Option,1,30,,30 is a leaf node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
NewQuestion,MS,,,
ID,ElisaDemo_48,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 47, 34, 28, 5, 8, 12, 96, 72, 80, 18, 84 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,0,34,,34 is an internal node. 
Option,0,80,,80 is an internal node. 
Option,1,18,,18 is a leaf node. 
Option,0,47,,47 is an internal node. 
Option,1,84,,84 is a leaf node. 
Option,0,5,,5 is an internal node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
NewQuestion,MS,,,
ID,ElisaDemo_49,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 16, 69, 99, 83, 25, 91, 36, 97, 64 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,1,64,,64 is a leaf node. 
Option,0,99,,99 is an internal node. 
Option,1,97,,97 is a leaf node. 
Option,0,36,,36 is an internal node. 
Option,0,69,,69 is an internal node. 
Option,0,91,,91 is an internal node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
NewQuestion,MS,,,
ID,ElisaDemo_50,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 75, 87, 93, 91, 73, 32, 47, 9, 80 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,1,91,,91 is a leaf node. 
Option,0,75,,75 is an internal node. 
Option,0,32,,32 is an internal node. 
Option,0,93,,93 is an internal node. 
Option,1,80,,80 is a leaf node. 
Option,0,87,,87 is an internal node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
NewQuestion,MS,,,
ID,ElisaDemo_51,,,
Title,Binary trees,,,
QuestionText,"Build a binary tree by inserting the key sequence [ 19, 60, 83, 69, 8, 91, 23, 49 ] and identify which of the following keys are leaves after all keys have been inserted.",,,
Pts,6,,,
Difficulty,2,,,
Image,,,,
Scoring,RightAnswers,,,
Option,0,19,,19 is an internal node. 
Option,1,69,,69 is a leaf node. 
Option,1,49,,49 is a leaf node. 
Option,1,91,,91 is a leaf node. 
Option,0,23,,23 is an internal node. 
Option,1,8,,8 is a leaf node. 
Hint,"The first key becomes the root. Then, recursively, smaller values go into the left branch and larger values into the right. Any node that has neither a left nor a right branch underneath it is a leaf.",,,
Feedback,"When you are systematic and disciplined about always starting at the root and following the rules, this is an easy task.",,,
,,,,
,,,,
