NewQuestion,M,,,
ID,ElisaDemo_22,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 57612_{8} \),,
Match,1,\( 24458_{10} \),,
Choice,2,\( 7f_{16} \),,
Match,2,\( 177_{8} \),,
Choice,3,\( 100010_{2} \),,
Match,3,\( 42_{8} \),,
Choice,4,\( 2540_{10} \),,
Match,4,\( b45_{15}\),,
Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
NewQuestion,M,,,
ID,ElisaDemo_23,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 10_{10} \),,
Match,1,\( 01010_{2} \),,
Choice,2,\( 546_{8} \),,
Match,2,\( 166_{16} \),,
Choice,3,\( bg9h_{22}\),,
Match,3,\( 125087_{10} \),,
Choice,4,\( 17_{8} \),,
Match,4,\( 1111_{2} \),,
Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
NewQuestion,M,,,
ID,ElisaDemo_24,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 336_{8} \),,
Match,1,\( de_{16} \),,
Choice,2,\( 77_{10} \),,
Match,2,\( 085_{9} \),,
Choice,3,\( 27_{10} \),,
Match,3,\( 17_{20}\),,
Choice,4,\( 17_{8} \),,
Match,4,\( 1111_{2} \),,
Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
NewQuestion,M,,,
ID,ElisaDemo_25,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 1001_{2} \),,
Match,1,\( 11_{8} \),,
Choice,2,\( 5371_{10} \),,
Match,2,\( 0ga7_{18}\),,
Choice,3,\( 011_{3} \),,
Match,3,\( 4_{10} \),,
Choice,4,\( eb_{16} \),,
Match,4,\( 353_{8} \),,
