NewQuestion,MC,,,
ID,ElisaDemo_62,,,
Title,Linear regression,,,
QuestionText,"Fit a linear model into <a href='https://scs-technology-and-innovation.github.io/casestudy/demo/select.html?s=613&n=10' target='_blank'>casestudy613.csv</a>. Select the correct slope-intercept pair.",HTML,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,"Slope 13.12, intercept 3.45",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 13.25, intercept 2.36",,"Think carefully which value is which. Careful with the rounding, too."
Option,100,"Slope 1.23, intercept 9.95",,Nicely done.
Option,0,"Slope 3.45, intercept 13.12",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 9.95, intercept 1.23",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 2.36, intercept 13.25",,"Think carefully which value is which. Careful with the rounding, too."
Hint,"Use LinearRegression from scikit-learn. The data file is automatically downloaded whenclicking the link in the question. Check your download folder if you cannot find it.",,,
Feedback,"The slope is listed as the first (and only) coefficient of the fitted model.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_63,,,
Title,Linear regression,,,
QuestionText,"Fit a linear model into <a href='https://scs-technology-and-innovation.github.io/casestudy/demo/select.html?s=835&n=10' target='_blank'>casestudy835.csv</a>. Select the correct slope-intercept pair.",HTML,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,100,"Slope 1.23, intercept 9.82",,Nicely done.
Option,0,"Slope 9.82, intercept 1.23",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 12.36, intercept -2.10",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 2.54, intercept 12.25",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 12.25, intercept 2.54",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope -2.10, intercept 12.36",,"Think carefully which value is which. Careful with the rounding, too."
Hint,"Use LinearRegression from scikit-learn. The data file is automatically downloaded whenclicking the link in the question. Check your download folder if you cannot find it.",,,
Feedback,"The slope is listed as the first (and only) coefficient of the fitted model.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_64,,,
Title,Linear regression,,,
QuestionText,"Fit a linear model into <a href='https://scs-technology-and-innovation.github.io/casestudy/demo/select.html?s=922&n=10' target='_blank'>casestudy922.csv</a>. Select the correct slope-intercept pair.",HTML,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,"Slope 14.49, intercept 4.61",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 9.85, intercept 1.24",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 7.53, intercept -1.61",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 4.61, intercept 14.49",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope -1.61, intercept 7.53",,"Think carefully which value is which. Careful with the rounding, too."
Option,100,"Slope 1.24, intercept 9.85",,Nicely done.
Hint,"Use LinearRegression from scikit-learn. The data file is automatically downloaded whenclicking the link in the question. Check your download folder if you cannot find it.",,,
Feedback,"The slope is listed as the first (and only) coefficient of the fitted model.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_65,,,
Title,Linear regression,,,
QuestionText,"Fit a linear model into <a href='https://scs-technology-and-innovation.github.io/casestudy/demo/select.html?s=580&n=10' target='_blank'>casestudy580.csv</a>. Select the correct slope-intercept pair.",HTML,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,100,"Slope 1.23, intercept 10.02",,Nicely done.
Option,0,"Slope 14.87, intercept 5.14",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 5.14, intercept 14.87",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 14.69, intercept 6.71",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 10.02, intercept 1.23",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 6.71, intercept 14.69",,"Think carefully which value is which. Careful with the rounding, too."
Hint,"Use LinearRegression from scikit-learn. The data file is automatically downloaded whenclicking the link in the question. Check your download folder if you cannot find it.",,,
Feedback,"The slope is listed as the first (and only) coefficient of the fitted model.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_66,,,
Title,Linear regression,,,
QuestionText,"Fit a linear model into <a href='https://scs-technology-and-innovation.github.io/casestudy/demo/select.html?s=239&n=10' target='_blank'>casestudy239.csv</a>. Select the correct slope-intercept pair.",HTML,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,"Slope 1.24, intercept 9.01",,"Think carefully which value is which. Careful with the rounding, too."
Option,100,"Slope 1.23, intercept 9.92",,Nicely done.
Option,0,"Slope 5.26, intercept 8.97",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 9.01, intercept 1.24",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 9.92, intercept 1.23",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 8.97, intercept 5.26",,"Think carefully which value is which. Careful with the rounding, too."
Hint,"Use LinearRegression from scikit-learn. The data file is automatically downloaded whenclicking the link in the question. Check your download folder if you cannot find it.",,,
Feedback,"The slope is listed as the first (and only) coefficient of the fitted model.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_67,,,
Title,Linear regression,,,
QuestionText,"Fit a linear model into <a href='https://scs-technology-and-innovation.github.io/casestudy/demo/select.html?s=482&n=10' target='_blank'>casestudy482.csv</a>. Select the correct slope-intercept pair.",HTML,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,"Slope 2.87, intercept 11.20",,"Think carefully which value is which. Careful with the rounding, too."
Option,100,"Slope 1.23, intercept 9.78",,Nicely done.
Option,0,"Slope 4.48, intercept 5.66",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 9.78, intercept 1.23",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 5.66, intercept 4.48",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 11.20, intercept 2.87",,"Think carefully which value is which. Careful with the rounding, too."
Hint,"Use LinearRegression from scikit-learn. The data file is automatically downloaded whenclicking the link in the question. Check your download folder if you cannot find it.",,,
Feedback,"The slope is listed as the first (and only) coefficient of the fitted model.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_68,,,
Title,Linear regression,,,
QuestionText,"Fit a linear model into <a href='https://scs-technology-and-innovation.github.io/casestudy/demo/select.html?s=905&n=10' target='_blank'>casestudy905.csv</a>. Select the correct slope-intercept pair.",HTML,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,"Slope -2.17, intercept 4.50",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 9.89, intercept 0.30",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 4.50, intercept -2.17",,"Think carefully which value is which. Careful with the rounding, too."
Option,100,"Slope 1.23, intercept 9.86",,Nicely done.
Option,0,"Slope 9.86, intercept 1.23",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 0.30, intercept 9.89",,"Think carefully which value is which. Careful with the rounding, too."
Hint,"Use LinearRegression from scikit-learn. The data file is automatically downloaded whenclicking the link in the question. Check your download folder if you cannot find it.",,,
Feedback,"The slope is listed as the first (and only) coefficient of the fitted model.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_69,,,
Title,Linear regression,,,
QuestionText,"Fit a linear model into <a href='https://scs-technology-and-innovation.github.io/casestudy/demo/select.html?s=733&n=10' target='_blank'>casestudy733.csv</a>. Select the correct slope-intercept pair.",HTML,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,"Slope 5.45, intercept 3.19",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 9.79, intercept 1.23",,"Think carefully which value is which. Careful with the rounding, too."
Option,100,"Slope 1.23, intercept 9.79",,Nicely done.
Option,0,"Slope 10.03, intercept -0.28",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 3.19, intercept 5.45",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope -0.28, intercept 10.03",,"Think carefully which value is which. Careful with the rounding, too."
Hint,"Use LinearRegression from scikit-learn. The data file is automatically downloaded whenclicking the link in the question. Check your download folder if you cannot find it.",,,
Feedback,"The slope is listed as the first (and only) coefficient of the fitted model.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_70,,,
Title,Linear regression,,,
QuestionText,"Fit a linear model into <a href='https://scs-technology-and-innovation.github.io/casestudy/demo/select.html?s=604&n=10' target='_blank'>casestudy604.csv</a>. Select the correct slope-intercept pair.",HTML,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,"Slope 2.06, intercept 12.91",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 12.91, intercept 2.06",,"Think carefully which value is which. Careful with the rounding, too."
Option,100,"Slope 1.23, intercept 9.90",,Nicely done.
Option,0,"Slope 2.47, intercept 10.47",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 9.90, intercept 1.23",,"Think carefully which value is which. Careful with the rounding, too."
Option,0,"Slope 10.47, intercept 2.47",,"Think carefully which value is which. Careful with the rounding, too."
Hint,"Use LinearRegression from scikit-learn. The data file is automatically downloaded whenclicking the link in the question. Check your download folder if you cannot find it.",,,
Feedback,"The slope is listed as the first (and only) coefficient of the fitted model.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_71,,,
Title,Linear regression,,,
